A82|Dutch|Staunton gambit, Tartakower variation|d4 f5 e4 fxe4 Nc3 Nf6 g4 
A83|Dutch|Staunton gambit, Staunton's line|d4 f5 e4 fxe4 Nc3 Nf6 Bg5 
A83|Dutch|Staunton gambit, Alekhine variation|d4 f5 e4 fxe4 Nc3 Nf6 Bg5 g6 h4 
A83|Dutch|Staunton gambit, Lasker variation|d4 f5 e4 fxe4 Nc3 Nf6 Bg5 g6 f3 
A83|Dutch|Staunton gambit, Chigorin variation|d4 f5 e4 fxe4 Nc3 Nf6 Bg5 c6 
A83|Dutch|Staunton gambit, Nimzovich variation|d4 f5 e4 fxe4 Nc3 Nf6 Bg5 b6 
A84|Dutch defence||d4 f5 c4 
A84|Dutch defence|Bladel variation|d4 f5 c4 g6 Nc3 Nh6 
A84|Dutch defence||d4 f5 c4 e6 
A84|Dutch defence, Rubinstein variation||d4 f5 c4 e6 Nc3 
A84|Dutch|Staunton gambit deferred|d4 f5 c4 e6 e4 
A84|Dutch defence||d4 f5 c4 Nf6 
A85|Dutch with c4 & Nc3||d4 f5 c4 Nf6 Nc3 
A86|Dutch with c4 & g3||d4 f5 c4 Nf6 g3 
A86|Dutch|Hort-Antoshin system|d4 f5 c4 Nf6 g3 d6 Bg2 c6 Nc3 Qc7 
A86|Dutch|Leningrad variation|d4 f5 c4 Nf6 g3 g6 
A87|Dutch|Leningrad, main variation|d4 f5 c4 Nf6 g3 g6 Bg2 Bg7 Nf3 
A88|Dutch|Leningrad, main variation with c6|d4 f5 c4 Nf6 g3 g6 Bg2 Bg7 Nf3 O-O O-O d6 Nc3 c6 
A89|Dutch|Leningrad, main variation with Nc6|d4 f5 c4 Nf6 g3 g6 Bg2 Bg7 Nf3 O-O O-O d6 Nc3 Nc6 
A90|Dutch defence||d4 f5 c4 Nf6 g3 e6 Bg2 
A90|Dutch defence|Dutch-Indian (Nimzo-Dutch) variation|d4 f5 c4 Nf6 g3 e6 Bg2 Bb4+ 
A90|Dutch-Indian, Alekhine variation||d4 f5 c4 Nf6 g3 e6 Bg2 Bb4+ Bd2 Be7 
A91|Dutch defence||d4 f5 c4 Nf6 g3 e6 Bg2 Be7 
A92|Dutch defence||d4 f5 c4 Nf6 g3 e6 Bg2 Be7 Nf3 O-O 
A92|Dutch defence, Alekhine variation||d4 f5 c4 Nf6 g3 e6 Bg2 Be7 Nf3 O-O O-O Ne4 
A92|Dutch|stonewall variation|d4 f5 c4 Nf6 g3 e6 Bg2 Be7 Nf3 O-O O-O d5 
